"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Away","Dallas Mavericks","42775","2018-01-24","8:00PM","American Airlines Center","Harden","James",6,6,3,3,50,10,10,6,6,60,16,16,9,9,56.2,2,2,1,1,50,1,1,4,4,5,5,13,13,25,25,1,1,1,1,1,1,0,0,5,5,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,1952,1952,1
"Away","New Orleans Pelicans","42786","2018-01-26","8:00PM","Smoothie King Center","Harden","James",7,7,4,4,57.1,9,9,1,1,11.1,16,16,5,5,31.2,14,14,12,12,85.7,0,0,5,5,5,5,11,11,23,23,4,4,2,2,1,1,2,2,11,11,0,0,4,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-12,2036,2036,1
"Away","San Antonio Spurs","42832","2018-02-01","8:00PM","AT&T Center","Harden","James",8,8,5,5,62.5,12,12,5,5,41.7,20,20,10,10,50,3,3,3,3,100,0,0,2,2,2,2,11,11,28,28,2,2,1,1,2,2,2,2,4,4,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,2208,2208,1
"Away","Cleveland Cavaliers","42848","2018-02-03","8:30PM","Quicken Loans Arena","Harden","James",5,5,4,4,80,11,11,1,1,9.1,16,16,5,5,31.2,5,5,5,5,100,0,0,6,6,6,6,9,9,16,16,4,4,2,2,0,0,0,0,7,7,0,0,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1868,1868,1
"Away","Brooklyn Nets","42868","2018-02-06","7:30PM","Barclays Center","Harden","James",13,13,7,7,53.8,10,10,4,4,40,23,23,11,11,47.8,10,10,10,10,100,0,0,4,4,4,4,5,5,36,36,2,2,0,0,1,1,2,2,10,10,0,0,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,2063,2063,1
"Away","Miami Heat","42875","2018-02-07","7:30PM","American Airlines Arena","Harden","James",13,13,8,8,61.5,12,12,5,5,41.7,25,25,13,13,52,12,12,10,10,83.3,0,0,4,4,4,4,6,6,41,41,4,4,3,3,1,1,0,0,9,9,0,0,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2182,2182,1
"Away","Minnesota Timberwolves","42918","2018-02-13","8:00PM","Target Center","Harden","James",10,10,4,4,40,10,10,6,6,60,20,20,10,10,50,9,9,8,8,88.9,0,0,6,6,6,6,13,13,34,34,1,1,0,0,1,1,1,1,10,10,0,0,2,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,2149,2149,1
"Away","Denver Nuggets","42965","2018-02-25","8:00PM","Pepsi Center","Harden","James",10,10,5,5,50,10,10,6,6,60,20,20,11,11,55,16,16,13,13,81.2,1,1,7,7,8,8,7,7,41,41,5,5,1,1,0,0,3,3,12,12,0,0,2,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2235,2235,1
"Away","Utah Jazz","42974","2018-02-26","9:00PM","Vivint Smart Home Arena","Harden","James",8,8,7,7,87.5,5,5,1,1,20,13,13,8,8,61.5,12,12,9,9,75,1,1,10,10,11,11,5,5,26,26,6,6,3,3,0,0,0,0,8,8,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2098,2098,1
"Away","Los Angeles Clippers","42990","2018-02-28","10:30PM","Staples Center","Harden","James",4,4,4,4,100,10,10,3,3,30,14,14,7,7,50,9,9,8,8,88.9,0,0,3,3,3,3,7,7,25,25,4,4,2,2,1,1,0,0,11,11,0,0,4,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1993,1993,1
"Away","Oklahoma City Thunder","43029","2018-03-06","8:00PM","Chesapeake Energy Arena","Harden","James",10,10,7,7,70,3,3,1,1,33.3,13,13,8,8,61.5,7,7,6,6,85.7,0,0,5,5,5,5,11,11,23,23,10,10,4,4,1,1,2,2,12,12,0,0,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2166,2166,1
"Away","Milwaukee Bucks","43036","2018-03-07","8:00PM","BMO Bradley Harris Center","Harden","James",10,10,5,5,50,10,10,3,3,30,20,20,8,8,40,7,7,7,7,100,0,0,5,5,5,5,6,6,26,26,5,5,4,4,1,1,2,2,6,6,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2086,2086,1
"Away","Toronto Raptors","43048","2018-03-09","7:30PM","Air Canada Center","Harden","James",14,14,11,11,78.6,8,8,4,4,50,22,22,15,15,68.2,7,7,6,6,85.7,0,0,2,2,2,2,4,4,40,40,4,4,1,1,1,1,0,0,8,8,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2009,2009,1
"Away","New Orleans Pelicans","43095","2018-03-17","7:00PM","Smoothie King Center","Harden","James",15,15,7,7,46.7,13,13,4,4,30.8,28,28,11,11,39.3,8,8,6,6,75,4,4,7,7,11,11,8,8,32,32,2,2,2,2,0,0,3,3,10,10,0,0,2,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,2261,2261,1
"Away","Minnesota Timberwolves","43108","2018-03-18","7:00PM","Target Center","Harden","James",9,9,7,7,77.8,9,9,2,2,22.2,18,18,9,9,50,14,14,14,14,100,0,0,4,4,4,4,12,12,34,34,4,4,2,2,1,1,0,0,11,11,0,0,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2205,2205,1
